,Unnamed: 0,actdate,action,action_seq,address,aff,aff_dec,affnet,affordab_1,affordable,affordable_net,affordablenet,alias,apn,best_date,best_stat,beststat_group,block,bpapplno,building_type_id,caseno,centralsoma,cie,cie_existing,cie_net,cie_proposed,cienet,classified_neighborhood,contact,contactadd,contactcity,contactph,contactphone,cost,cult_inst_educ,dbi_actdate,dbi_action,dbi_filed,dbi_permit,dbi_permit_id,dbi_project_description,dbidesc,decdate,decision,descript,district,districtname,dname,entitled,entitlement,entitlementstatus,filedate,first_project_record_date,firstfiled,fullname,geography,height,height_lim,heightlimit,heightnum,industrial_existing,industrial_net,industrial_proposed,landuse,latest_project_record_date,latest_project_status,location,lot,med,medical,medical_existing,medical_net,medical_proposed,mednet,mips,mipsnet,neighborhood,net_added_sf,net_added_units,net_cult_inst_educ,net_gsf,net_medical,net_office,net_prod_dist_rep,net_ret_ent,net_visitor,new_rehab,objectid,office,office_existing,office_net,office_proposed,original_data_file,parking,parkingnet,pda,pdr,pdrnet,planarea,plandistrict,planner,planning_filed,planning_id,planning_project_description,planningdistrictscombo,pln_review,pln_reviewdate,plndesc,plndistrict,prod_dist_rep,project_dates,project_duration_days,project_statuses,propuse,report_quarter,report_year,ret,ret_ent,retailcomm_existing,retailcomm_net,retailcomm_proposed,retnet,sitearea,sizecat,sort,source,sponsor,sponsor_firm,sponsor_name,standardaddress,status_group,statusgroup,supdist,supedist,taz,tempselect,total_gsf,total_gsf_commercial,totalsqftestim,traffic_analysis_zone,units,unitsnet,visit,visitnet,visitor,visitor_existing,visitor_net,visitor_proposed,x,y,zonename,zoning,zoning_gen,zoning_generalized,zoning_sim,zoning_simplified,zoningdistrictname
12130,12130,,,,94103,,,,,0.0,,0.0,,APN 3727085,2014-07-25,BP FILED,,,201407252241.0,,2015-001620PRJ,,0.0,,,,0.0,South of Market,GOLDEN PROPERTIES LLC,,,,,,,,,,,,,"CONVERSION OF (E) HABITABLE SPACE TO 2-UNITS AT BASEMENT LEVEL. UNIT #1: 1-BEDROOM, 1-BATH.  UNIT #2: 2-BEDROOM, 1-BATH.",,,,,,,-1.0,,,,2014-07-25,07/25/2014,,,40-X,,,,,,,Resident,2014-07-25,BP FILED,"94103
(37.77832973730, -122.41070038500)",,0.0,,,,,0.0,0.0,0.0,South of Market,,,,0.0,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_3.csv,,,,0.0,0.0,Western SoMa (EN); South of Market,Downtown,KDURANDE,,,,,,,"Residential unit division. CONVERSION OF (E) HABITABLE SPACE TO 2-UNITS AT BASEMENT LEVEL. UNIT #1: 1-BEDROOM, 1-BATH. UNIT #2: 2-BEDROOM, 1-BATH.",,,"('2014-07-25',)",0.0,"('BP FILED',)",APARTMENTS,3,2015,0.0,,,,,0.0,,,,CASE TRACKING,,,,,,,,SUPERVISORIAL DISTRICT 6,,,0.0,,,,6.0,1.0,0.0,0.0,,,,,37.7783297373,-122.410700385,SOUTH OF MARKET RESIDENTIAL ENCLAVE,,,,RED,,
7699,7699,,,,1551 FRANKLIN ST,,,,,,,,,0665002,2014-06-30,BP ISSUED,BP Approved/Issued/Re-Instated,,,,,,,,,,,Western Addition,,"1290 Sutter St, Suite 200","San Francisco, CA 94109",,288-3397,,,,,,201106228677,,,,,,,,,,,,-1,,2014-06-30,25-Apr-11,Marc Ojanen 288-3397,,,,130-E,130.0,,,,Resident,2014-06-30,BP ISSUED,"1551 Franklin St
(37.788964999999997, -122.423985)",,,,,,,,,,Western Addition,0.0,1.0,,,,,,,,,4330.0,,,,,data/raw/San_Francisco_Development_Pipeline_2014_Quarter_3.csv,,,San Francisco: Downtown-Van Ness-Geary,,,,,,25-Apr-11,2011.0262,add 1 additional residential unit to a 3-unit 3.5 story building.,Western Addition,,,,,,"('2011-06-06', '2011-06-06', '2011-06-06', '2011-06-06', '2011-06-06', '2011-06-06', '2011-06-06', '2014-02-03', '2014-06-30')",0.0,"('PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'BP ISSUED')",,3,2014,,,,,,,,,,,,,Marc Ojanen,,,,,,330.0,,,0.0,6800.0,,4.0,,,,,,,,37.788965000000005,-122.42398500000002,,NC-3,,Mixed Use,,NC-3,
4048,4048,,,3.0,102 TEDDY AV,,,,,,,,,6208002,2008-03-22,PL APPROVED,,6208,,,,,,,,,,Visitacion Valley,,140 Alta Loma Street,"Millbrae, CA 94030",,,,,,,,,,,,,,,,,,,,-1,,2008-03-22,21-Feb-08,Xing Lee ,,,,40-X,,,,,Resident,2008-03-22,PL APPROVED,"102 Teddy Av
(37.714052000000002, -122.404642)",002,,,,,,,,,"South Central, Other",0.0,1.0,,,,,,,,,2727.0,,,,,data/raw/San_Francisco_Development_Pipeline_2013_Quarter_3.csv,,,,,,,,,21-Feb-08,2008.0203,Construct two singl;e-family dwellings on two parcels.,,,,,,,"('2008-03-22', '2008-03-22', '2008-03-22', '2008-03-22', '2008-03-22', '2008-03-22')",0.0,"('PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED')",,3,2013,,,,,,,4406.0,,,,,,Xing Lee,,,PL Approved,10.0,,15.0,,,0.0,,,2.0,,,,,,,,37.714052,-122.404642,,RH-1,,Residential,,RH-1,
14782,14782,,,,6 BONVIEW ST,,,,,0.0,0.0,,,APN 5613063,2015-05-12,BP FILED,,,201505126076.0,,2015-006711PRJ,,,0.0,0.0,0.0,,Bernal Heights,TWIN PEAKS INVESTMENTS LLC,,,,,$500000.00,,,,,,,,"TO ERECT  3 STORIES, 1 BASEMENT, SINGLE FAMILY DWELLING.",,,,Bernal Heights,"RESIDENTIAL- HOUSE, ONE FAMILY",,,,0.0,,2015-05-12,05/12/2015,,,,,40-X,,0.0,0.0,0.0,Resident,2015-05-12,BP FILED,"(37.7448851792, -122.415871)",,,,0.0,0.0,0.0,,,,Bernal Heights,,,,,,,,,,,,,0.0,0.0,0.0,data/raw/San_Francisco_Development_Pipeline_2016_Quarter_1.csv,,,,,,,,CTOWNES,,,,,,,"TO ERECT  3 STORIES, 1 BASEMENT, SINGLE FAMILY DWELLING.",,,"('2015-05-12',)",0.0,"('BP FILED',)",1 FAMILY DWELLING,1,2016,,,0.0,0.0,0.0,,,,,,,,,,,,SUPERVISORIAL DISTRICT 9,,,,,,,,1.0,1.0,,,,0.0,0.0,0.0,37.744885179200004,-122.415871,,RH-1,,,,,
10124,10124,June 05 2015,ROUGH FRAME,,151 03RD ST,0.0,,0.0,,,,,SFMOMA,3722367,2015-06-05,CONSTRUCTION,,,201211093897.0,,2009.0291,,298378.0,,,,101710.0,Financial District,Joel Roos,,,929-0800,,,,,,,,,,,July 11 2012,APPROVED WITH C,"Expansion of SFMOMA to SE with 40,000-sf gallery wing at Natoma Street, acquisition and replacement of Heald College building on Howard Street with 62,000-sf new construction for back-of-house and admin functions, vacation of portion of Hunt Alley, and a",Downtown,DOWNTOWN- OFFICE,,,True,,April 09 2009,2015-06-05,,,"(37.78592298050, -122.40074956600)",500-I,,,,,,,CIE,2015-06-05,CONSTRUCTION,,,0.0,,,,,0.0,0.0,-35025.0,Financial District,,,,66685.0,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_1.csv,,,,0.0,0.0,,,MJACINTO,,,,,,,,,,"('2015-06-05',)",0.0,"('CONSTRUCTION',)",,1,2015,0.0,,,,,0.0,,,,CASE TRACKING,Ikuko Satoda,,,,,,SUPERVISORIAL DISTRICT 6,,,,298378.0,,,,0.0,0.0,0.0,0.0,,,,,37.785922980500004,-122.400749566,,,,,C-3-O,,
11253,11253,01/01/42219 12:00:00 AM,OK TO POUR,,949 MARKET STREET,,,,,0.0,,0.0,,APN 3704071,2015-08-03,CONSTRUCTION,,,201011084497.0,,2008.0217,,0.0,,,,0.0,South of Market,Reuben &,,,415 567-9,,,,,,,,,,,01/01/40497 12:00:00 AM,GRANTED WITH CO,"Section 309 Review Required with one exception (freight loading) request. Conditional Use Authorization request to exceed allowable accessory parking per Section 303, 157 and 158.  Variances requested per Section 102.11 to allow modification of gross flo",,DOWNTOWN- GENERAL,D6,,,-1,02/22/2008,2015-08-03,,,"(37.78270271870, -122.40899810100)",,120-X,,,,,,Retail/Ent,2015-08-03,CONSTRUCTION,,,0.0,,,,,0.0,0.0,-74700.0,South of Market,,,,237300.0,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_2.csv,240.0,0.0,,0.0,0.0,Central SoMa; Downtown,,RDEAN,,,,,,,,Downtown,,"('2015-08-03',)",0.0,"('CONSTRUCTION',)",,2,2015,367000.0,,,,,312000.0,,,,CASE TRACKING,DWI Devel,,,,,,,,,,367000.0,,,,0.0,0.0,0.0,0.0,,,,,37.7827027187,-122.40899810100001,,,,,C-3-G,,
9090,9090,,,,300 CALIFORNIA ST,,,0.0,,0.0,,,,0238002,2013-12-05,PL APPROVED,,,,,2012.0605,,0.0,,,,0.0,Financial District,,,,,,,,,,,,,,,,,Vertical addition of 4 floors of office to an existing 8 story office building.  The existing rooftop penthouse will be removed.  Existing basement parking and ground-floor retail uses would remain.  Publicly accessible open space would be provided at a,,,,,True,true,09/12/2012,2013-12-05,,,"(37.793349300000003, -122.4004225)",,,400-S,,,,,MIPS,2013-12-05,PL APPROVED,,,0.0,,,,,0.0,165843.0,58582.0,Financial District,,,,58582.0,,,,,,R,,,,,,data/raw/San_Francisco_Development_Pipeline_2014_Quarter_4.csv,,,,0.0,0.0,,,,,,,,Approved,12/05/2013,,,,"('2007-12-19', '2007-12-19', '2012-09-12', '2012-09-12', '2012-09-12', '2012-09-12', '2013-12-05', '2013-12-05', '2013-12-05', '2013-12-05')",0.0,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED')",,4,2014,11412.0,,,,,0.0,,,PL Approved,CASE TRACKING,Tracy Zill,,,300 California St,,,,,,,177255.0,,,,0.0,0.0,0.0,0.0,,,,,37.793349299999996,-122.4004225,,,Commercial,,C-3-O,,DOWNTOWN- OFFICE
14839,14839,,,,658 03RD AV,,,,,0.0,0.0,,,APN 1642036,2015-11-30,CONSTRUCTION,,,200711198515.0,,,,,0.0,0.0,0.0,,Inner Richmond,,,,,,$300000.00,,,,,,,,Vertical extension to convert a 2 story + attic single family residential building by adding one sto,,,,Richmond,"RESIDENTIAL- HOUSE, TWO FAMILY",,,,-1.0,,2015-11-30,11/19/2007,,,,,40-X,,0.0,0.0,0.0,Resident,2015-11-30,CONSTRUCTION,"(37.7762910124, -122.460387)",,,,0.0,0.0,0.0,,,,Inner Richmond,,,,,,,,,,,,,0.0,0.0,0.0,data/raw/San_Francisco_Development_Pipeline_2016_Quarter_1.csv,,,,,,,,,,,,,,,,,,"('2015-07-15', '2015-11-30', '2015-11-30')",0.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2 FAMILY DWELLING,1,2016,,,0.0,0.0,0.0,,,,,,,,,,,,SUPERVISORIAL DISTRICT 1,,,,,,,,2.0,1.0,,,,0.0,0.0,0.0,37.776291012399994,-122.46038700000001,,RH-2,,,,,
12290,12290,,,,94124,,,,,0.0,,0.0,,APN 5428D037,2014-07-23,BP FILED,,,201407231943.0,,,,0.0,,,,0.0,Bayview Hunters Point,,,,,,,,,,,,,,"LEGALIZEING PERVIOUS BUILT W/O PERMIT. CONVERT PATIO GARAGE TO 2ND UNIT. 1 BEDROOM, 1 BATH & KITCHEN",,,,,,,0.0,,,,2014-07-23,07/23/2014,,,65-J,,,,,,,Resident,2014-07-23,BP FILED,"94124
(37.72821050420, -122.39821842700)",,0.0,,,,,0.0,0.0,0.0,Bayview,,,,0.0,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_3.csv,,,,0.0,0.0,Bayview Hunters Point,South Bayshore,,,,,,,,,,,"('2014-07-23',)",0.0,"('BP FILED',)",2 FAMILY DWELLING,3,2015,0.0,,,,,0.0,,,,PERMIT TRACKING,,,,,,,,SUPERVISORIAL DISTRICT 10,,,0.0,,,,2.0,1.0,0.0,0.0,,,,,37.7282105042,-122.398218427,"RESIDENTIAL- HOUSE, ONE FAMILY",,,,RH-1,,
9532,9532,,,,2227 33RD AV,0.0,,0.0,,,,,,2316001,2014-10-08,BP FILED,,,201410088357.0,,,,0.0,,,,0.0,Sunset/Parkside,,,,,,,,,,,,,,LEGALIZE IN-LAW UNIT @ FIRST FLOOR PER ORDINANCE 43-14.,,,,Outer Sunset,"RESIDENTIAL- HOUSE, ONE FAMILY",,,,,,2014-10-08,,,"(37.74552948860, -122.49124491300)",40-X,,,,,,,Resident,2014-10-08,BP FILED,,,0.0,,,,,0.0,0.0,0.0,Parkside,,,,0.0,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_1.csv,,,,0.0,0.0,,,,,,,,,,,,,"('2014-10-08',)",0.0,"('BP FILED',)",2 FAMILY DWELLING,1,2015,0.0,,,,,0.0,,,,PERMIT TRACKING,,,,,,,SUPERVISORIAL DISTRICT 4,,,,0.0,,,,2.0,1.0,0.0,0.0,,,,,37.7455294886,-122.49124491299999,,,,,RH-1,,
