NEIGHBORHOOD,BLKLOT,NAMEADDR,UNITS,UNITSNET,BESTDATE,BESTSTAT,EntitlementStatus,CASENO,DESCRIPT,PLN_REVIEW,PLN_REVIEWDATE,BPAPPLNO,PROPUSE,DBIDESC,DBI_ACTION,DBI_ACTDATE,NEW_REHAB,source,TOTAL_GSF,RET,MIPS,CIE,MED,PDR,VISIT,NET_GSF,CIENET,MEDNET,MIPSNET,PDRNET,RETNET,VISITNET,FILEDATE,LANDUSE,StandardAddress,alias,Entitlement,sort,sizecat,AFFORDABLE,AFFNET,zoning_gen,ZONING_SIM,ZONINGDISTRICTNAME,HEIGHTLIMIT,SPONSOR,CONTACT,Geography
Bayview,4886008,HUNTERS POINT EXPY,10500,10237,08/03/2010 12:00:00 AM,PL APPROVED,true,2007.0946,"Redevelopment plans, rezoning, projects, and infrastructure for 778-acre site encompassing BVHP Areas B, C, and Shipyard, for Candlestick Point, Hunters Point Shipyard, and India Basin Shoreline, including an estimated 9,000-du, 650,000-sf retail, 2,000,",Approved,08/03/2010,,,,,,,CASE TRACKING,4110000,750000,2756250,0,0,393750,210000,4110000,0,0,2756250,393750,750000,210000,01/11/2010,Mixres,Hunters Point Expy,Bayview Waterfront,true,PL Approved,Above 250,3345,3089,Public,P,PUBLIC,40-X,SF Redevelopment Agency,Nicole Franklin,"(37.711469000000001, -122.381602)"
Lakeshore,7303001,PARKMERCED,8898,5677,05/25/2011 12:00:00 AM,PL APPROVED,true,2008.0021,"Master redevelopment program for 116-ac Parkmerced site, proposed to retain existing midrise bldgs and demo/replace all others w/ 4-14-story residential bldgs, on-site relocation of existing residents @ current rent-controlled rates, concurrent infrastru",,,,,,,,N,CASE TRACKING,521450,430060,91390,0,0,0,0,478383,0,0,80615,0,397768,0,12/07/2009,Mixres,3711 19th Ave,Parkmerced,true,PL Approved,Above 250,0,-3221,Residential,PM-OS,PARKMERCED-OPEN SPACE,40-OS-PM,Seth Mallen,Barbara Sahm,"(37.720500000000001, -122.47545100000001)"
Treasure Island/YBI,1939001,TREASURE ISLAND,8619,7800,03/15/2011 12:00:00 AM,PL APPROVED,true,2007.0903,"Development and Redevelopment Plan for Treasure Island and Yerba Buena Island, including land uses up to (approximately): 6,000 units residential, 500 rooms hotel, 250,000-sf retail, 300 acres park and open space, parking, reuse and historic rehabilitati",,,,,,,,,CASE TRACKING,381000,250000,0,0,0,0,131000,381000,0,0,0,0,250000,131000,03/15/2011,Mixres,Treasure Island,Treasure Island,true,PL Approved,Above 250,2050,1800,Public,TI-OS/TI-R/TI-MU/TI-PCI,TREASURE ISLAND,See Treasure Island Zoning Map,,,"(37.823551500000001, -122.370648)"
Visitacion Valley,6310001,1654 SUNNYDALE AVE,1700,915,04/28/2010 12:00:00 AM,PL FILED,false,2010.0305,"The project project is the Sunnydale HOPE SF Master Plan. The proposed project would demolish the existing Sunnydale public housing complexes and construct replacement housing, new market rate housing, infrastructure, open space, and community ammentitie",,,,,,,,,CASE TRACKING,88700,88700,0,0,0,0,0,59424,0,0,0,0,59424,0,04/28/2010,Mixres,1654 Sunnydale Ave,Sunnydale Hope SF,false,Planning Filed,Above 250,1700,915,Residential,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",40-X,,,"(37.712432, -122.41759399999999)"
Potrero Hill,4167004,1 TURNER TR,1600,994,06/30/2010 12:00:00 AM,PL FILED,false,2010.0515,"Replace 606 units of public housing with 1,400-1,700 units of mixed-income, mixed-tenure housing, including 1-to1 replacement of public housing. Project will also include neighborhood serving retail, community facilities, parks and open space, and a new",,,,APARTMENTS,,,,,PERMIT TRACKING,30000,20000,10000,0,0,0,0,30000,0,0,10000,0,20000,0,06/30/2010,Mixres,1 Turner Ter,Potrero Hope SF,false,Planning Filed,Above 250,0,0,Residential,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",40-X,,,"(37.757050900000003, -122.39567030000001)"
South of Market,9900048,PIER 48,1500,1500,04/23/2013 12:00:00 AM,PL FILED,false,2013.0208,"The proposed project is the development of Seawall Lot 337 and Pier 48 (i.e. Mission Rock), which will include a mixed-use development, including open space, commercial, residential, retail and parking. The project would include approximately 3,600,000 s",,04/23/2013,,,,,,N,CASE TRACKING,1950000,250000,1700000,0,0,0,0,1950000,0,0,1700000,0,250000,0,06/04/2013,Mixres,48 Pier,Seawall Lot 337,false,Planning Filed,Above 250,0,0,Industrial,M-2,HEAVY INDUSTRIAL,40-X,Jon Knorpp,Jon Knorpp,"(37.7758988, -122.38766149999999)"
South of Market,3746001,201 FOLSOM ST,806,806,03/30/2015 12:00:00 AM,CONSTRUCTION,true,2000.1073,"Residential & Retail uses, and parking. Remove an existing US Postal Service surface parking lot and construct a new 38-40 story building with 806 residential units, ground floor retail, 806 off-street parking spaces for the residential use, 16 retail pa",Approved,11/18/2003,201207124717,APARTMENTS,Multiple Permits,"ROUGH FRAME, PA",03/30/2015,,CASE TRACKING,23505,23505,0,0,0,0,0,23505,0,0,0,0,23505,0,07/11/2002,Resident,201 Folsom St,390 Main St,true,Construction,Above 250,0,0,Mixed Use,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",400-W,,,"(37.789186000000001, -122.391823)"
Lakeshore,7282005,515 JOHN MUIR DR,722,2,10/21/2014 12:00:00 AM,CONSTRUCTION,true,,,,,201308093997,APARTMENTS,WORK FOR UNIT# 104 & # 106 ONLY. CHANGE OF USE. FROM ANCILLARY OFFICE USAGE TO 2 DWELLING UNIT (HIGH,OK TO COVER,10/21/2014,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,515 John Muir Dr,,true,Construction,2-9,0,0,Public,P,PUBLIC,OS,,,"(37.714910000000003, -122.493222)"
Downtown/Civic Center,0813007,1390 MARKET ST,676,230,05/28/2009 12:00:00 AM,PL APPROVED,true,2005.0979,"Fox Plaza currently contains two buildings: a 29-story mixed-use building and a two-story commercial building.  The proposal would demolish the existing two-story, 19,000 structure located on the NE corner of the lot and construct a new building which wo",CEQA,05/28/2009,,APARTMENTS,,,,,PERMIT TRACKING,17500,17500,0,0,0,0,0,-1500,0,0,-9500,0,8000,0,10/19/2005,Mixres,1390 Market St,,true,PL Approved,100-249,0,0,Commercial,C-3-G,DOWNTOWN- GENERAL,120-R-2,,,"(37.777300400000001, -122.4170096)"
Financial District,3737012,245 01ST ST,603,603,12/23/2014 12:00:00 AM,BP FILED,false,,,,,201412234418,APARTMENTS,"TO ERECT 55 STORIES, 2.5 BASEMENT, 603 UNITS RESIDENTIAL, RETAIL & PARKING BUILDING.
** MAHER: COMPL",,,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,245 01ST St,,false,BP Filed,Above 250,0,0,High Density Residential,TB DTR,TRANSBAY DOWNTOWN RESIDENTIAL,50/85/550-TB,,,"(37.787900112000003, -122.39459403799999)"
