APN,NAMEADDR,BESTSTAT,BESTDATE,CASENO,BPAPPLNO,PROPUSE,NEW_REHAB,Alias,LANDUSE,DESCRIPT,DBIDESC,UNITS,UNITSNET,AFFORDABLE,AFFORDABLENET,EntitlementStatus,PARKING,PARKINGNET,TOTAL_GSF,NET_GSF,CIE,CIENET,MED,MEDNET,MIPS,MIPSNET,PDR,PDRNET,RET,RETNET,VISIT,VISITNET,FILEDATE,PLANNER,SPONSOR,CONTACT,CONTACTPH,DECISION,DECDATE,ACTION,ACTDATE,SOURCE,SupeDistrict,PLANAREA,PLNDISTRICT,NEIGHBORHOOD,ZONING_SIM,DISTRICTNAME,HEIGHT_LIMIT,X,Y,geography
APN 3725093,925 MISSION ST,PL FILED,05/15/2015,2011.0409,,,,5M,Mixres,,"Project review for a development .  A mix of residential, office, retail and other uses on the approx. 4 acre site on the SE corner of 5th/ Mission and extending towards sixth street & south to Howard Street,  The site is comprised of 23 parcels.",688,688,58,58,0,0,0,617900,574800,17300,-23600,0,0,593500,591300,0,0,7100,7100,0,0,07/27/2011,KGUY,,,,,,,,CASE TRACKING,D6,Central SoMa; Downtown,Downtown,South of Market,C-3-S,DOWNTOWN SUPPORT,160-F,-122.406601109,37.7821536544,"(37.78215365440, -122.40660110900)"
APN 3746003,201 FOLSOM ST,CONSTRUCTION,07/23/2015,2000.1073,201207124717,,,Lumina,Mixres,"Residential & Retail uses, and parking. Remove an existing US Postal Service surface parking lot and construct a new 38-40 story building with 806 residential units, ground floor retail, 806 off-street parking spaces for the residential use, 16 retail pa",Multiple Permits,669,669,0,0,-1,1085,1085,23505,23505,0,0,0,0,0,0,0,0,23505,23505,0,0,07/11/2002,MSNYDER,,,,Approved,01/01/37943 12:00:00 AM,"ROUGH FRAME, PA",01/01/42208 12:00:00 AM,manual,D6,Rincon Hill,South of Market,South of Market,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",400-W,-122.391851353,37.7886820165,"(37.78868201650, -122.39185135300)"
APN 3737012,245 01ST ST,BP FILED,12/23/2014,,201412234418,APARTMENTS,N,,Resident,,"TO ERECT 55 STORIES, 2.5 BASEMENT, 603 UNITS RESIDENTIAL, RETAIL & PARKING BUILDING.
** MAHER: COMPL",603,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PERMIT TRACKING,D6,Transbay; Transit Center District,South of Market,Financial District,TB DTR,TRANSBAY DOWNTOWN RESIDENTIAL,50/85/550-TB,-122.394594038,37.787900112,"(37.78790011200, -122.39459403800)"
APN 3911001,1 HENRY ADAMS ST,CONSTRUCTION,04/21/2015,2012.0701,201306250394,APARTMENTS,,,Resident,"Demolish an existing building (Concourse Exhibit Hall) containing 125,000 square feet of space and 280 surface parking spaces and construct new buildings extending up to 70 feet in height and containing 560 dwellings, 438 off-street parking space, and 8,",Multiple Permits,560,560,0,0,-1,341,0,0,15000,0,0,0,0,0,0,0,0,0,15000,0,0,05/31/2012,DSIDER,Robert Meyers,Robert Meyers,415-788-2777,Approved,01/01/41242 12:00:00 AM,REINFORCING STE,01/01/42115 12:00:00 AM,CASE TRACKING,D10,Showplace Square/Potrero Hill (EN),South of Market,South of Market,UMU,URBAN MIXED USE,68-X,-122.403472985,37.7692014322,"(37.76920143220, -122.40347298500)"
APN 3506007,1500-1580 MISSION ST,PL FILED,12/18/2014,2014-000362PRJ,,,,GOODWILL,Mixres,"The proposed project would demolish two buildings, except for a portion of Mission Street frontage and clock tower of the 1500 Mission Street building and construct a mixed-use project. The mixed-use building would include ground-floor retail, residentia",,550,550,110,110,0,423,308,513000,426018,0,0,0,0,462000,447009,0,-5700,51000,36009,0,0,,KGUY,Related California Urban Housing,,415-677-9000,FILED,,,,manual,D6,Market and Octavia; Downtown,Mission,South of Market,C-3-G,DOWNTOWN- GENERAL,85/250-R-2,-122.418417024,37.7738221883,"(37.77382218830, -122.41841702400)"
APN 3736120,500 FOLSOM ST,BP FILED,03/11/2015,,201503110506,APARTMENTS,N,,Resident,,"TO ERECT 42 STORIES, 6 BASEMENTS, 545 UNITS RESIDENTIAL APARTMENT BUILDING.",545,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PERMIT TRACKING,D6,Transbay; Transit Center District,South of Market,Financial District,TB DTR,TRANSBAY DOWNTOWN RESIDENTIAL,50/165/400-TB,-122.39510677,37.7872035554,"(37.78720355540, -122.39510677000)"
APN 3833001,1000 16TH ST,CONSTRUCTION,09/07/2012,2003.0527,201112070227,,,Potrero1010,Mixres,"The proposed project involves the construction of three building residential complex including 450 dwelling units, 26,500gsf of ground-floor retail space and 503 off-street parking spaces.  The project would include a partial street vacation to narrow th",,470,470,94,94,-1,0,0,26500,26500,0,0,0,0,0,0,0,0,26500,26500,0,0,02/23/2006,KDURANDE,Andy Stewart,Daniel Murphy,(650)359-535,APPR/WC,01/01/40752 12:00:00 AM,ISSUED,01/01/41159 12:00:00 AM,BLDG PERMIT,D10,Showplace Square/Potrero Hill (EN),South of Market,South of Market,UMU,URBAN MIXED USE,68-X,-122.396595168,37.7671083406,"(37.76710834060, -122.39659516800)"
APN 4105009,800 INDIANA STREET,PL FILED,10/10/2013,2011.1374,,,N,,Resident,The proposed project is the demolition of the existing Opera Warehouse and construction of a new 340-unit multi-family units and 294 parking spaces. The project would be constructed in six building with a semi subterraen parking garage.,,340,340,0,0,0,289,289,0,-78240,0,0,0,0,0,0,0,-78240,0,0,0,0,10/10/2013,RSUCRE,Lou Vasquez,Joe Kirchofer,415-284-9080,,01/01/40940 12:00:00 AM,,,CASE TRACKING,D10,Central Waterfront (EN),South of Market,Potrero Hill,UMU,URBAN MIXED USE,58-X,-122.391729047,37.7591964033,"(37.75919640330, -122.39172904700)"
APN 3747320,399 FREMONT ST,CONSTRUCTION,07/20/2015,2002.0449,200605161774,,,,Mixres,"The proposal is to demolish the existing structure and construct a new structure that would include a 400-foot tower, 450 dwelling units, and 450 off-street parking spaces.",ERECT 41 STORIES 432 DWELLING RESIDENTIAL/PARKING BLDG.,452,452,0,0,-1,359,359,33000,-2256,0,0,0,0,24500,24500,0,-35256,8500,8500,0,0,04/18/2006,MSNYDER,Katie Haley,Lucian Robert Blazej,415.695.1111,Approved,01/01/38792 12:00:00 AM,"ROUGH FRAME, PA",01/01/42205 12:00:00 AM,CASE TRACKING,D6,Rincon Hill,South of Market,South of Market,RH DTR,RINCON HILL DOWNTOWN RESIDENTIAL,85/400-R,-122.392223707,37.7873224333,"(37.78732243330, -122.39222370700)"
APN 0857001,55 Laguna Street,CONSTRUCTION,07/30/2015,2004.0773,201209059006,,,,Mixres,"Mixed-use project which would include construction of seven new buildings and the adaptive re-use of two existing buildings for 491 dwelling units, 421 off-street parking spaces, 3,500 GSF of retail use, 12,000 GSF for a dental clinic, and 12,590 GSF for",,450,450,160,160,-1,310,310,3500,28090,0,12590,0,12000,0,0,0,0,3500,3500,0,0,10/31/2006,JKUGLER,Ruthy Bennett,Ruthy Bennett,510-267-4679,CEQA,01/01/39511 12:00:00 AM,SITE VERIFICATI,01/01/42215 12:00:00 AM,CASE TRACKING,D8,Market and Octavia,Buena Vista,Western Addition,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",40-X,-122.426278644,37.7723498556,"(37.77234985560, -122.42627864400)"
