BESTSTAT,BESTDATE,NAMEADDR,CASENO,BPAPPLNO,PROPUSE,BLKLOT,LANDUSE,DESCRIPT,DBIDESC,UNITS,UNITSNET,AFF,AFFNET,TOTAL_GSF,CIE,MED,MIPS,PDR,RET,VISIT,NET_GSF,CIENET,MEDNET,MIPSNET,PDRNET,RETNET,VISITNET,Entitlement,Alias,ZONING,ZONING_SIMPLIFY,HEIGHT,PLNNBRHOOD,PLNDISTRICT,SUPEDIST,SOURCE,PLANNER,FILEDATE,SPONSOR,CONTACT,CONTACTPH,DECISION,DECDATE,ACTION,ACTDATE,GEOGRAPHY
PL FILED,03/25/2015,2435-2445 16TH ST,2014.1201,,,3965021,Mixres,,,53,53,6,6,65369,0,0,0,0,7399,0,55372,0,0,0,-9997,7399,0,,,URBAN MIXED USE,UMU,68-X,Mission,Mission,SUPERVISORIAL DISTRICT 9,manual,EJACKSON,,,,,,,,,"(37.76532087420, -122.41111997700)"
BP FILED,03/20/2015,271 UPPER TR,,201503201418,1 FAMILY DWELLING,2628032,Resident,,Multiple Permits,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,40-X,Castro/Upper Market,Buena Vista,SUPERVISORIAL DISTRICT 8,PERMIT TRACKING,,,,,,,,,,"(37.76223134390, -122.44543184700)"
BP FILED,07/15/2013,579 39TH AV,,201307151829,2 FAMILY DWELLING,1505014,Resident,,"ERECT 3 STORIES, 2 DWELLING UNITS.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,40-X,Outer Richmond,Richmond,SUPERVISORIAL DISTRICT 1,PERMIT TRACKING,,,,,,,,,,"(37.77788047140, -122.49995220600)"
BP FILED,10/28/2014,1167 PALOU AV,,201410280026,2 FAMILY DWELLING,4757047,Resident,,LEGALIZE IN LAW UNIT AT 1ST FLOOR PER ORINANCE 43-14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, ONE FAMILY",RH-1,40-X,Bayview,South Bayshore,SUPERVISORIAL DISTRICT 10,PERMIT TRACKING,,,,,,,,,,"(37.72918617920, -122.38299497600)"
BP FILED,12/31/2014,3945 JUDAH ST,,201412314770,APARTMENTS,1809028,Resident,,"TO ERECT 4 STORIES, 1 BASEMENT, 6 UNITS RESIDENTIAL WITH COMMERCIAL BUILDING.",6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"NEIGHBORHOOD COMMERCIAL, CLUSTER",NC-1,40-X,Outer Sunset,Outer Sunset,SUPERVISORIAL DISTRICT 4,PERMIT TRACKING,,,,,,,,,,"(37.76030615840, -122.50455910000)"
BP FILED,11/12/2014,726 PRESIDIO AV,,201411121318,APARTMENTS,1055013,Resident,,"TO ERECT 4 STORIES, 1 BASEMENT, 7 UNITS MULTI-FAMILY RESIDENT.
** MAHER: COMPLIANCE WITH ORDINANCE N",7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- MIXED, MODERATE DENSITY",RM-2,40-X,Western Addition,Richmond,SUPERVISORIAL DISTRICT 2,PERMIT TRACKING,,,,,,,,,,"(37.78499239860, -122.44593018600)"
BP FILED,10/10/2014,44 WOODWARD ST,,201410108600,APARTMENTS,3532048,Resident,,"CONSTRUCT (N) 4-STORY, 3-UNITS APARTMENT.",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- MIXED, LOW DENSITY",RM-1,40-X,Mission,Mission,SUPERVISORIAL DISTRICT 9,PERMIT TRACKING,,,,,,,,,,"(37.76914108000, -122.42104845800)"
BP FILED,12/11/2014,835 SOUTH VAN NESS AV,,201412113579,APARTMENTS,3594023,Resident,,"ERECT 4-STORY, TYPE 5A, 3 DWELLING UNITS BUILDING.",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, THREE FAMILY",RH-3,50-X,Mission,Mission,SUPERVISORIAL DISTRICT 9,PERMIT TRACKING,,,,,,,,,,"(37.75980435840, -122.41661513100)"
PL FILED,05/15/2015,925 MISSION ST,2011.0409,,,3725093,Mixres,,"Project review for a development .  A mix of residential, office, retail and other uses on the approx. 4 acre site on the SE corner of 5th/ Mission and extending towards sixth street & south to Howard Street,  The site is comprised of 23 parcels.",688,688,58,58,617900,17300,0,593500,0,7100,0,574800,-23600,0,591300,0,7100,0,,5M,DOWNTOWN SUPPORT,C-3-S,160-F,South of Market,Downtown,SUPERVISORIAL DISTRICT 6,CASE TRACKING,KGUY,July 27 2011,,,,,,,,"(37.78215365440, -122.40660110900)"
BP FILED,12/23/2014,245 01ST ST,,201412234418,APARTMENTS,3737012,Resident,,"TO ERECT 55 STORIES, 2.5 BASEMENT, 603 UNITS RESIDENTIAL, RETAIL & PARKING BUILDING.
** MAHER: COMPL",603,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,TRANSBAY DOWNTOWN RESIDENTIAL,TB DTR,50/85/550-TB,Financial District,South of Market,SUPERVISORIAL DISTRICT 6,PERMIT TRACKING,,,,,,,,,,"(37.78790011200, -122.39459403800)"
