BESTDATE,BESTSTAT,NAMEADDR,Alias,LANDUSE,CASENO,PLNDESC,BPAPPLNO,DBIDESC,FirstFiled,COST,PROPUSE,APN,EntitlementStatus,NEIGHBORHOOD,PLANAREA,PLANDISTRICT,SUPDIST,ZONING,ZONEDISTRICTNAME,HEIGHTLIMIT,UNITS,UNITSNET,AFFORDABLE,AFFORDABLE_NET,RETAILCOMM_EXISTING,RETAILCOMM_PROPOSED,RETAILCOMM_NET,OFFICE_EXISTING,OFFICE_PROPOSED,OFFICE_NET,INDUSTRIAL_EXISTING,INDUSTRIAL_PROPOSED,INDUSTRIAL_NET,MEDICAL_EXISTING,MEDICAL_PROPOSED,MEDICAL_NET,VISITOR_EXISTING,VISITOR_PROPOSED,VISITOR_NET,CIE_EXISTING,CIE_PROPOSED,CIE_NET,SPONSOR,CONTACT,CONTACTPH,PLANNER,LOCATION
12/17/2015,BP FILED,1 ARDATH COURT (COMMUNITY CENTER),,CIE,2015-003310PRJ,New construction of a community center to be located on an empty patch of land on the corner of Harbor Road and Ingalls Street.,201512175326,"ERECT 1-STORY, NO BASEMENT, TYPE 5-1, COMMUNITY CENTER.
** MAHER: N/A **",11/17/2015,$600000.00,RECREATION BLDG,APN 4712008,0,Bayview,Bayview Hunters Point,South Bayshore,SUPERVISORIAL DISTRICT 10,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5588,5588,HB&A Architects,Hafsa Burt,415-702-1609,JDISALVO,"(37.7342431939, -122.382430)"
05/08/2015,BP FILED,1 EDGAR AV,,Resident,,,201505085755,CONSTRUCT (N) 3-STORY SINGLE FAMILY DWELLING UNIT,05/08/2015,$300000.00,1 FAMILY DWELLING,APN 6978069,0,Ocean View,,Ingleside,SUPERVISORIAL DISTRICT 11,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7203939917, -122.452521)"
03/28/2016,CONSTRUCTION,1 FRANKLIN ST,,Mixres,2010.0102,"Construct a new 8-story, 35-unit mixed-use building with ground-floor commercial.  See 2008.1328",200912032516,CONSTRUCTION OF 8-STORY 35 DWELLING UNITS W/RETAIL & PARKING.,12/03/2009,$11000000.00,,APN 0837003,-1,Downtown/Civic Center,Market and Octavia,Buena Vista,SUPERVISORIAL DISTRICT 5,NCT-3,MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,85-X,35,35,5,5,0,2384,2384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John Ramsbacher,Warner Schmalz,415-252-7063,TFRYE,"(37.7744289168, -122.421110)"
03/17/2016,CONSTRUCTION,1 HENRY ADAMS ST,,Resident,2012.0701,"Demolish an existing building (Concourse Exhibit Hall) containing 125,000 square feet of space and 280 surface parking spaces and construct new buildings extending up to 70 feet in height and containing 560 dwellings, 438 off-street parking space, and 8,",201306250394,Multiple Permits,05/31/2012,$45000000.00,APARTMENTS,APN 3911001,-1,South of Market,Showplace Square/Potrero Hill (EN),South of Market,SUPERVISORIAL DISTRICT 10,UMU,URBAN MIXED USE,68-X,560,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Robert Meyers,Robert Meyers,415-788-2777,DSIDER,"(37.7692014331, -122.403473)"
09/24/2014,BP FILED,1 HORACE ST,,Resident,2014.1301,Variance request to the rear yard requirement to permit the new construction of an additional dwelling unit.,201409247165,CONSTRUCT (N) 3-STORY SINGLE FAMILY RESIDENCE.,08/22/2014,$550000.00,1 FAMILY DWELLING,APN 6525001A,0,Mission,Mission (EN),Mission,SUPERVISORIAL DISTRICT 9,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris Giouzelis,Yakuh Askew,415-920-1839,,"(37.7507228458, -122.414398)"
10/22/2015,BP APPROVED,1 STANYAN ST,,Mixres,2007.0113,"The proposed project would demolish the existing gas station and construct a new 13-unit residential building with 1,700 sq. ft. of ground floor retail and 14 parking spaces. The building would be approx. 24,256 sq ft, four-stories, and 40 feet in height",200712140534,"ERECT A NEW 4 STORIES, 13 UNITS MIXED USE BUILDING",01/30/2007,$1950000.00,,APN 1084001B,-1,Inner Richmond,,Richmond,SUPERVISORIAL DISTRICT 1,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",40-X,13,13,0,0,0,1700,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John E. McInerney Esq.,Bruce Baumann,415 551-7884,SVELLVE,"(37.7810723620, -122.456522)"
03/05/2012,BP FILED,10 APTOS AV,,Resident,,,201203055412,ERECT THREE STORY SINGLE FAMILY HOUSE.,03/05/2012,$800000.00,1 FAMILY DWELLING,APN 3261002,0,West of Twin Peaks,,Ingleside,SUPERVISORIAL DISTRICT 7,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",40-X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7316033454, -122.466341)"
07/09/2015,BP FILED,10 TINGLEY ST,,Resident,,,201507091034,Multiple Permits,07/09/2015,$1086000.00,1 FAMILY DWELLING,APN 6800004,0,Outer Mission,,South Central,SUPERVISORIAL DISTRICT 11,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7285638384, -122.432103)"
12/17/2015,BP ISSUED,1000 07TH ST (BLDG 1 OF 3),100 HOOPER ST,MIPS,2012.0203,,201410209377,CONSTRUCT (N) MERCANTILE/RETAIL/PDR BUILDING.,10/23/2014,$52500000.00,OFFICE,APN 3808003,-1,South of Market,Showplace Square/Potrero Hill (EN),South of Market,SUPERVISORIAL DISTRICT 10,PDR-1-D,"PRODUCTION, DISTRIBUTION & REPAIR - 1 - DESIGN",58-X,0,0,0,0,0,0,0,0,284471,284471,86532,142784,56252,0,0,0,0,0,0,0,0,0,,,,CTOWNES,"(37.7686867795, -122.399391)"
12/17/2015,BP ISSUED,1000 07TH ST (BLDG 2 OF 3),150 HOOPER ST,Mixed,2012.0203,,201410239755,CONSTRUCT (N) MERCANTILE/RETAIL/PDR BUILDING.,10/23/2014,$7500000.00,RETAIL SALES,APN 3808003,-1,South of Market,Showplace Square/Potrero Hill (EN),South of Market,SUPERVISORIAL DISTRICT 10,PDR-1-D,"PRODUCTION, DISTRIBUTION & REPAIR - 1 - DESIGN",58-X,0,0,0,0,0,0,0,0,284471,284471,86532,142784,56252,0,0,0,0,0,0,0,0,0,,,,CTOWNES,"(37.7686867795, -122.399391)"
08/06/2014,BP ISSUED,1001 17TH ST & 140 PENNSYLVANIA AV,,Resident,2011.0187,"The proposed project is the demolition of a two-story commercial warehouse and new construction of a five-story, 50-foot-tall, mixed-use building with 4,380 s.f. of ground-floor commercial, 44 residential units, and 33 off-street parking spaces. The proj",200408040564,ERECT A 5 STORIES 12 UNIT RESIDENTIAL BLDG,08/04/2004,$750000.00,APARTMENTS,APN 3987010,-1,Potrero Hill,Showplace Square/Potrero Hill (EN),South of Market,SUPERVISORIAL DISTRICT 10,UMU,URBAN MIXED USE,40-X,12,12,5,5,0,3510,3510,0,0,0,11475,0,-11475,0,0,0,0,0,0,0,0,0,,,,CTEAGUE,"(37.7647823807, -122.394109)"
12/02/2015,BP FILED,1050 GILMAN AV,,Resident,,,201512023975,LEGALIZE EXISTING KITCHEN ON THE GROUND FLOOR. TO LEGALIZE 1 RESIDENTIAL UNIT UNDER UNIT LEGALIZATIO,12/02/2015,$8000.00,2 FAMILY DWELLING,APN 4937006A,0,Bayview,Bayview Hunters Point,South Bayshore,SUPERVISORIAL DISTRICT 10,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7190448298, -122.389037)"
03/15/2016,BP APPROVED,1004 MISSISSIPPI ST,,Resident,2008.0705,"Construct 28 dwelling units and 28 parking spaces in an underground garage on a vacant lot. The building would be approximately 57,974 sq. ft. and approxomately 40 feet in height.",200705010141,"ERECT 4 STORIES, 28 UNITS, 3 BASEMENTS, RESIDENTIAL CONDOMINIUM BUILDING.",05/01/2007,$7000000.00,,APN 4224015,-1,Potrero Hill,Showplace Square/Potrero Hill (EN),South of Market,SUPERVISORIAL DISTRICT 10,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,28,28,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John Conomos,Bruce Baumann,415-551-7884,AHOLLIST,"(37.7536194639, -122.394042)"
03/30/2016,CONSTRUCTION,1006 / 1050 16TH ST & 1380 07TH ST,POTRERO1010,Resident,2003.0527,"The proposed project involves the construction of three building residential complex including 450 dwelling units, 26,500gsf of ground-floor retail space and 503 off-street parking spaces.  The project would include a partial street vacation to narrow th",201112070234,ERECT 6 STORY 393 UNITS RESIDENTIAL & COMMERCIAL BUILDING.,05/09/2003,$98068000.00,APARTMENTS,APN 3833002,-1,South of Market,Showplace Square/Potrero Hill (EN),South of Market,SUPERVISORIAL DISTRICT 10,UMU,URBAN MIXED USE,68-X,393,393,94,94,0,26500,26500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,KDURANDE,"(37.7666898720, -122.397182)"
06/27/2013,BP FILED,101 HYDE ST,,Mixres,2012.0086,The existing post office is scheduled for closure.  The proposed development would demolish the existing one-story building (built in 1960) and rebuild ground floor retail with residential units above.,201306270692,ERECT (N) 8-STORY MULTI-RESIDENTIAL & RETAIL BUILDING.,08/15/2012,$17000000.00,,APN 0346003A,-1,Downtown/Civic Center,Downtown,Downtown,SUPERVISORIAL DISTRICT 6,C-3-G,DOWNTOWN- GENERAL,80-X,85,85,10,10,0,4923,4923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albert Costa,Albert Costa,415.986.0101,KCONNER,"(37.7818037359, -122.415897)"
01/21/2016,CONSTRUCTION,101 LELAND AV,,Resident,2007.1472,Demolish an existing 1-story 992 sqft cottage and construct a 4-story mixed use building with underground parking for 8 cars.,200705221925,"DEMOLISH 1 STORY OF 1 DEWELLING UNIT. (200705221924)

TO ERECT 4 STORIES, 4 UNITS OF COMMERCIAL / RESIDENTIAL.",05/22/2007,$1200000.00,FOOD/BEVERAGE HNDLNG,APN 6250036,-1,Visitacion Valley,Schlage Lock,South Central,SUPERVISORIAL DISTRICT 10,NC-2,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",40-X,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7117660653, -122.405831)"
12/17/2015,BP FILED,1010 STANYAN ST,,Resident,,,201512175322,ERECT 4 STORIES OF 4 DWELLING UNIT MULTI FAMILY RES'D. TYPE 5 CONSTRUCTION.,12/17/2015,$1250000.00,APARTMENTS,APN 1273017,0,Haight Ashbury,,Buena Vista,SUPERVISORIAL DISTRICT 5,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7652324781, -122.452420)"
10/22/2013,BP ISSUED,1014 GILMAN AV,,Resident,,,201209109355,"ERECT 3-STORY, NO BASEMENT, TYPE 5 SINGLE FAMILY DWELLING.",09/10/2012,$780000.00,1 FAMILY DWELLING,APN 4937018,-1,Bayview,Bayview Hunters Point,South Bayshore,SUPERVISORIAL DISTRICT 10,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7185391968, -122.388233)"
