key,value
"BESTSTAT",beststat
"BESTDATE",bestdate
"NAMEADDR",nameaddr
"CASENO",caseno
"BPAPPLNO",bpapplno
"PROPUSE",propuse
"BLKLOT",blklot
"LANDUSE",landuse
"DESCRIPT",descript
"DBIDESC",dbidesc
"UNITS",units
"UNITSNET",unitsnet
"AFF",aff
"AFFNET",affnet
"TOTAL_GSF",total_gsf
"CIE",cie
"MED",med
"MIPS",mips
"PDR",pdr
"RET",ret
"VISIT",visit
"NET_GSF",net_gsf
"CIENET",cienet
"MEDNET",mednet
"MIPSNET",mipsnet
"PDRNET",pdrnet
"RETNET",retnet
"VISITNET",visitnet
"Entitlement",entitlement
"Alias",alias
"ZONING",districtname
"ZONING_SIMPLIFY",zoning_sim
"HEIGHT",height
"PLNNBRHOOD",neighborhood
"PLNDISTRICT",district
"SUPEDIST",supdist
"SOURCE",source
"PLANNER",planner
"FILEDATE",filedate
"SPONSOR",sponsor
"CONTACT",contact
"CONTACTPH",contactph
"DECISION",decision
"DECDATE",decdate
"ACTION",action
"ACTDATE",actdate
"GEOGRAPHY",geography
